x, f 
1, 0.41518
1, 0.41518
0.75, 0.171738
0.625, 0.0494456
0.625, 0.0494456
0.59375, 0.020117
0.578125, 0.00571942
0.578125, 0.00571942
0.574219, 0.00215021
0.572266, 0.000370288
0.572266, 0.000370288
0.572266, 0.000370288
0.572021, 0.000148019
0.571899, 3.69029e-05
0.571899, 3.69029e-05
0.571869, 9.12576e-06
0.571869, 9.12576e-06
0.571861, 2.1816e-06
0.571861, 2.1816e-06
0.571859, 4.45569e-07
